stud_id,name,gender,age,height,weight,religion,nc_score,semester,major,minor,score1,score2,online_tutorial,graduated,salary
833917,"Gonzales, Christina",Female,19,160,64.8,Muslim,1.91,1st,Political Science,Social Sciences,,,0,0,
898539,"Lozano, T'Hani",Female,19,172,73.0,Other,1.56,2nd,Social Sciences,Mathematics and Statistics,,,0,0,
379678,"Williams, Hanh",Female,22,168,70.6,Protestant,1.24,3rd,Social Sciences,Mathematics and Statistics,45.0,46.0,0,0,
807564,"Nem, Denzel",Male,19,183,79.7,Other,1.37,2nd,Environmental Sciences,Mathematics and Statistics,,,0,0,
383291,"Powell, Heather",Female,21,175,71.4,Catholic,1.46,1st,Environmental Sciences,Mathematics and Statistics,,,0,0,
256074,"Perez, Jadrian",Male,19,189,85.8,Catholic,1.34,2nd,Political Science,Mathematics and Statistics,,,0,0,
754591,"Clardy, Anita",Female,21,156,65.9,Protestant,1.11,2nd,Political Science,Social Sciences,,,0,0,
146494,"Allen, Rebecca Marie",Female,21,167,65.7,Other,2.03,3rd,Political Science,Economics and Finance,58.0,62.0,0,0,
723584,"Tracy, Robert",Male,18,195,94.4,Other,1.29,3rd,Economics and Finance,Environmental Sciences,57.0,67.0,0,0,
314281,"Nimmons, Laura",Female,18,165,66.0,Orthodox,1.19,2nd,Environmental Sciences,Mathematics and Statistics,,,0,0,
200803,"Lang, Mackenzie",Female,22,162,66.8,Other,1.04,4th,Economics and Finance,Environmental Sciences,62.0,61.0,1,1,45254.11
444907,"Rodriguez, Brianna",Female,18,172,66.8,Other,3.81,3rd,Environmental Sciences,Economics and Finance,76.0,82.0,0,0,
354271,"Covar Orendain, Christopher",Male,23,185,84.6,Orthodox,1.0,4th,Environmental Sciences,Mathematics and Statistics,71.0,76.0,1,1,40552.79
317812,"Lopez, Monique",Female,20,158,64.4,Catholic,2.5,6th,Environmental Sciences,Social Sciences,66.0,70.0,1,1,27007.03
604115,"Davis, Shagun",Female,19,157,66.3,Orthodox,1.92,2nd,Economics and Finance,Political Science,,,0,0,
889551,"Adams, Jose",Male,20,172,73.9,Other,3.61,4th,Mathematics and Statistics,Political Science,87.0,91.0,1,0,
350040,"Hines, Haileigh",Female,22,156,61.7,Other,2.27,6th,Political Science,Biology,57.0,54.0,0,1,33969.16
240279,"Daugherty, Jesus",Male,22,182,82.1,Catholic,1.42,1st,Economics and Finance,Environmental Sciences,,,0,0,
865835,"Roybal, Ebony",Female,21,162,69.2,Catholic,1.32,3rd,Political Science,Environmental Sciences,69.0,46.0,1,0,
137196,"Baysinger, Tanisha",Female,22,168,70.9,Protestant,2.33,2nd,Environmental Sciences,Political Science,,,0,0,
708242,"Phillips, Laiba",Female,20,167,68.5,Other,1.79,4th,Biology,Economics and Finance,77.0,80.0,1,0,
499002,"Culbertson, Deshawn",Male,37,175,70.4,Protestant,1.97,2nd,Political Science,Environmental Sciences,,,0,0,
873149,"O Reilly, Joshua",Male,19,164,70.3,Protestant,1.68,2nd,Political Science,Environmental Sciences,,,0,0,
807361,"Johnson, Stephanie",Female,38,155,67.0,Catholic,2.3,2nd,Environmental Sciences,Biology,,,0,0,
531029,"Mix, Aziel",Male,23,183,81.8,Catholic,2.11,4th,Economics and Finance,Environmental Sciences,69.0,65.0,0,0,
970589,"Gonzalez, Dixie",Female,26,145,54.0,Other,1.14,1st,Biology,Environmental Sciences,,,0,0,
250298,"Clark, Janelle",Female,25,161,66.8,Other,1.45,3rd,Social Sciences,Economics and Finance,45.0,37.0,1,0,
763393,"Woolsey, Bronson",Male,24,182,80.1,Protestant,1.09,5th,Economics and Finance,Social Sciences,61.0,73.0,1,1,50617.64
544433,"Diawara, Erica",Female,54,169,71.4,Protestant,1.75,2nd,Political Science,Environmental Sciences,,,0,0,
252935,"Lord, Benjamin",Male,22,172,69.6,Protestant,3.94,3rd,Mathematics and Statistics,Social Sciences,89.0,90.0,1,0,
453762,"Cordova, Justin",Male,23,172,73.0,Protestant,1.26,1st,Economics and Finance,Mathematics and Statistics,,,0,0,
759365,"Hayes, Vamshi",Male,19,192,88.9,Other,1.19,3rd,Social Sciences,Mathematics and Statistics,44.0,36.0,0,0,
662678,"French, Sidney",Male,22,175,72.6,Protestant,3.03,4th,Economics and Finance,Biology,65.0,70.0,1,0,
188703,"Torres, Andrew",Male,18,173,75.7,Other,1.19,4th,Environmental Sciences,Mathematics and Statistics,74.0,74.0,0,0,
806369,"Medina, Diamond",Female,20,170,71.6,Protestant,2.27,2nd,Environmental Sciences,Political Science,,,0,0,
679521,"Pascua, Burphy",Male,21,176,74.1,Other,4.0,3rd,Biology,Economics and Finance,72.0,75.0,1,0,
371307,"Glenn-Bracey, Mia",Female,20,180,75.6,Protestant,1.09,1st,Political Science,Economics and Finance,,,0,0,
411253,"Yang, Manuel",Male,23,185,80.7,Orthodox,3.15,5th,Political Science,Mathematics and Statistics,54.0,46.0,0,1,37391.87
835757,"Lujan, Malia",Female,22,172,68.3,Protestant,2.12,4th,Mathematics and Statistics,Environmental Sciences,86.0,92.0,1,1,35598.88
232384,"Formby, Christina",Female,21,171,74.5,Protestant,1.43,1st,Environmental Sciences,Mathematics and Statistics,,,0,0,
871735,"Nelson, Anddi",Female,19,153,64.9,Catholic,1.15,2nd,Economics and Finance,Mathematics and Statistics,,,0,0,
503879,"Lucas, Asashia",Female,20,157,64.4,Other,1.66,3rd,Social Sciences,Mathematics and Statistics,52.0,33.0,0,0,
186259,"Holguin, Lance",Male,23,190,89.3,Protestant,3.46,2nd,Mathematics and Statistics,Political Science,,,0,0,
890074,"Ontiveros, Aleena",Female,20,173,78.3,Orthodox,2.67,1st,Political Science,Social Sciences,,,0,0,
493398,"Clark, Marlana",Female,19,170,68.0,Other,2.45,1st,Social Sciences,Environmental Sciences,,,0,0,
902697,"Phan, Edeer",Male,19,160,62.2,Catholic,2.92,5th,Environmental Sciences,Economics and Finance,78.0,75.0,1,1,39703.74
679949,"Robles Escamilla, Rosario",Female,23,170,69.6,Orthodox,3.23,2nd,Biology,Economics and Finance,,,0,0,
509606,"Longwolf, Addam",Male,20,171,72.1,Protestant,2.03,1st,Environmental Sciences,Political Science,,,0,0,
773757,"Romero, Keyanna",Female,22,160,66.2,Other,1.37,3rd,Biology,Environmental Sciences,83.0,73.0,1,0,
889115,"Carter, Robert",Male,23,181,76.2,Orthodox,1.32,2nd,Economics and Finance,Social Sciences,,,0,0,
280980,"Jumbo, Isiah",Male,21,161,66.7,Catholic,1.41,3rd,Social Sciences,Political Science,55.0,42.0,0,0,
879108,"Dillenberg, Soraya",Female,25,164,65.9,Other,1.43,2nd,Social Sciences,Economics and Finance,,,0,0,
756828,"Nguyen, Juancarlos",Male,24,170,68.0,Protestant,1.83,5th,Economics and Finance,Environmental Sciences,71.0,69.0,1,0,
873225,"Shanahan, Carlos",Male,20,174,72.8,Protestant,1.89,1st,Economics and Finance,Biology,,,0,0,
267025,"Brown, Nhan",Male,21,171,65.7,Catholic,2.77,>6th,Political Science,Mathematics and Statistics,57.0,58.0,1,1,30086.76
865072,"Tak, Ruben",Male,22,184,83.3,Catholic,2.87,3rd,Economics and Finance,Biology,63.0,67.0,1,0,
180057,"Hussainy, Luis",Male,19,173,73.2,Other,2.8,1st,Biology,Mathematics and Statistics,,,0,0,
350628,"Maven, Yee Joo",Female,20,167,73.3,Other,1.13,2nd,Political Science,Biology,,,0,0,
809000,"Payte, Alexander",Male,21,182,83.5,Protestant,2.23,1st,Biology,Economics and Finance,,,0,0,
286216,"Tate, Shelby",Female,23,159,63.0,Catholic,2.01,1st,Biology,Economics and Finance,,,0,0,
373120,"Livingston, Sarah",Female,44,167,69.0,Catholic,2.51,4th,Political Science,Environmental Sciences,56.0,52.0,0,1,31494.32
797140,"Vang, Austin",Male,18,183,81.8,Other,3.14,2nd,Economics and Finance,Social Sciences,,,0,0,
201130,"Cebrun, Linda",Female,21,157,62.9,Catholic,2.59,>6th,Environmental Sciences,Social Sciences,64.0,75.0,0,1,32519.22
655450,"Meza Ramirez, Maricela",Female,20,173,78.1,Protestant,2.08,2nd,Political Science,Mathematics and Statistics,,,0,0,
401840,"Nicholson, Willow",Female,32,171,67.6,Orthodox,1.53,3rd,Mathematics and Statistics,Economics and Finance,88.0,93.0,1,0,
358005,"Eydi Shahroodi, Erik",Male,20,182,77.4,Other,3.82,4th,Economics and Finance,Political Science,65.0,63.0,1,1,42593.26
680483,"Truong, Patrick",Male,20,169,71.6,Other,3.8,4th,Economics and Finance,Environmental Sciences,73.0,73.0,0,1,60407.32
275470,"Vasquez, Timothy",Male,22,167,65.9,Other,3.96,3rd,Mathematics and Statistics,Economics and Finance,89.0,93.0,1,0,
258961,"Warren, Justin",Male,23,174,70.7,Orthodox,1.46,1st,Economics and Finance,Social Sciences,,,0,0,
495076,"Frost, Yuvorn",Male,41,194,94.9,Other,1.78,2nd,Environmental Sciences,Political Science,,,0,0,
156460,"Minor, Alex",Male,23,182,82.7,Other,1.22,4th,Social Sciences,Political Science,38.0,49.0,1,0,
249571,"Arkadie, Houa",Female,24,152,64.9,Other,2.73,4th,Biology,Political Science,75.0,83.0,1,0,
962284,"Iverson, Sierra",Female,20,154,63.0,Other,2.3,1st,Biology,Environmental Sciences,,,0,0,
870282,"Bustamante-Harrison, Sierra",Female,24,159,60.6,Catholic,1.88,4th,Social Sciences,Mathematics and Statistics,42.0,42.0,0,0,
308092,"Treto, Teonna",Female,23,153,63.2,Other,3.18,3rd,Biology,Economics and Finance,76.0,75.0,1,0,
694127,"Gonzales, Brianna",Female,20,150,63.3,Other,2.62,2nd,Political Science,Biology,,,0,0,
841076,"Pacheco, Cydney",Female,19,167,72.8,Other,2.73,>6th,Biology,Political Science,74.0,81.0,0,1,49111.43
794058,"Castaneda-Amaya, Tyandra",Female,25,149,56.2,Catholic,1.02,3rd,Economics and Finance,Environmental Sciences,76.0,61.0,1,0,
518947,"Garcia, Yamel",Female,21,155,62.1,Catholic,1.36,2nd,Biology,Mathematics and Statistics,,,0,0,
216224,"Ho, Javier",Male,22,177,77.5,Protestant,2.17,2nd,Economics and Finance,Political Science,,,0,0,
980136,"Munoz, Derrick",Male,24,180,77.1,Orthodox,1.63,5th,Environmental Sciences,Political Science,69.0,68.0,1,1,33068.85
253731,"Castillo, Anastasia",Female,24,159,62.2,Other,2.27,6th,Environmental Sciences,Biology,63.0,75.0,1,1,37803.51
416538,"Serrano, Shanae",Female,19,174,71.1,Catholic,1.42,3rd,Biology,Environmental Sciences,83.0,79.0,1,0,
888830,"Park, Damien",Male,23,174,74.9,Other,2.49,3rd,Economics and Finance,Social Sciences,71.0,74.0,0,0,
306032,"Lesley, Tiffany",Female,21,159,62.4,Protestant,1.76,1st,Environmental Sciences,Political Science,,,0,0,
536813,"Turner, Savannah",Female,19,160,65.3,Orthodox,1.38,4th,Biology,Environmental Sciences,78.0,76.0,0,0,
732709,"Begay-Watson, Anthony",Male,22,169,68.0,Orthodox,3.06,4th,Political Science,Economics and Finance,53.0,46.0,1,0,
514389,"Picard, Brittney",Female,21,166,67.9,Muslim,2.26,5th,Environmental Sciences,Mathematics and Statistics,72.0,77.0,1,1,35191.66
367719,"Wilson, Navya",Female,21,155,67.5,Other,2.03,3rd,Economics and Finance,Biology,71.0,74.0,1,0,
362637,"Dinh, Fidel",Male,26,178,76.7,Other,2.45,3rd,Biology,Social Sciences,76.0,79.0,0,0,
409917,"Huddleston, Tina",Female,23,162,61.8,Orthodox,1.21,2nd,Mathematics and Statistics,Economics and Finance,,,0,0,
977593,"Gonzalez, Merissa",Female,21,181,79.0,Protestant,1.53,3rd,Economics and Finance,Biology,65.0,65.0,1,0,
884302,"Norris, Lauren",Female,20,168,69.4,Orthodox,2.45,1st,Mathematics and Statistics,Social Sciences,,,0,0,
